DATE,M,S,BL,D2M,LAIH,LAII,SP,T2M,PREC,U10,V10,AOD,PM25lag2,PM25lag,PM25
2013-05-13,5,2,1377.757016,276.8802197,2.479129164,0.511108028,83045.0756,294.568734,9.08E-06,0.188403939,-1.233641572,0.388000018,89,79,83
2013-05-14,5,2,2566.357974,275.0592134,2.479248047,0.51086461,82836.26761,295.916595,5.82E-05,0.555478091,1.864616434,0.467000022,72,89,79
2013-05-15,5,2,2156.307816,271.6221626,2.478891397,0.510742486,83084.50787,294.7092732,0,2.651032859,0.562172644,0.346000016,64,72,89
2013-05-16,5,2,361.9718854,278.6848027,2.478277168,0.510620361,83447.05178,286.7067594,5.99E-04,-0.518502385,-2.445801668,0.773000037,44,64,72
2013-05-17,5,2,1608.876196,271.2647934,2.477544055,0.510498237,83157.71545,292.8239115,0,2.863889695,0.110560844,0.132000006,46,44,64
2013-05-18,5,2,1974.193609,275.633369,2.476810942,0.510376113,83006.97438,294.8268001,0,3.633360229,-1.311165687,0.240000011,60,46,44
2013-05-19,5,2,2374.359003,276.1378903,2.476077829,0.510253988,82934.93147,294.7347511,9.58E-05,1.888257388,0.769805809,0.606000029,54,60,46
2013-05-20,5,2,2305.500734,271.5223094,2.475344716,0.510131864,83055.22483,297.2291158,0,4.018672657,-0.575943223,0.263000012,64,54,60
2013-05-21,5,2,1974.779994,277.9628381,2.474611603,0.51000974,83376.50629,294.3747736,1.57E-04,-0.577141904,3.069043452,0.484000023,69,64,54
2013-05-22,5,2,2400.746297,273.893165,2.473997373,0.509765491,83073.85949,298.2219305,0,1.44153507,-0.133417791,0.179000009,39,69,64
2013-05-23,5,2,1301.024443,276.7468631,2.47326426,0.509643367,83243.23522,294.8415937,0,2.59724149,-2.682240551,0.290000014,37,39,69
2013-05-24,5,2,2540.975911,270.3693996,2.472531147,0.509521242,83305.62804,297.7329199,0,3.794272609,-0.393442564,0.082000004,63,37,39
2013-05-25,5,2,1805.817549,274.3891461,2.471798034,0.509399118,83501.45833,297.6441583,0,0.621966994,2.165046544,0.226000011,57,63,37
2013-05-26,5,2,1979.30353,271.2004144,2.471064921,0.509276994,83352.54745,299.6528,0,-0.711504895,2.598485609,0.143000007,53,57,63
2013-05-27,5,2,2615.446716,269.4135684,2.470450691,0.509154869,83232.42046,299.9609999,0,-2.22412744,3.582519882,0.714000034,90,53,57
2013-05-28,5,2,3539.588359,270.9869125,2.469717579,0.509033576,83082.17854,300.3554958,1.72E-05,0.093980462,2.607185323,0.441000021,76,90,53
2013-05-29,5,2,3375.400758,267.8218302,2.468984466,0.508911451,83041.74798,300.4615166,0,2.046861125,1.32465421,0.443000021,55,76,90
2013-05-30,5,2,2345.709942,272.0281445,2.468271167,0.508667203,83046.07389,297.6786767,0,3.818513355,-1.054620799,0.20800001,63,55,76
2013-05-31,5,2,2826.042446,268.4202922,2.467538054,0.508545078,82948.74108,299.7358085,0,3.171170007,0.00365103,0.271000013,103,63,55
2013-06-01,6,3,3549.389354,271.5485866,2.466804941,0.508422954,82807.81648,299.1432428,0,3.792656559,0.523120596,0.597000028,99,103,63
2013-06-02,6,3,2369.835468,270.5093254,2.466190711,0.50830083,82901.32253,298.8736706,0,4.032062783,-1.496759577,0.524000025,77,99,103
2013-06-03,6,3,3053.978397,272.4308418,2.465457598,0.508178705,82809.48029,301.3409137,0,3.469908342,-0.432301285,0.334000016,127,77,99
2013-06-04,6,3,3550.729661,269.4884582,2.464724485,0.508056581,82988.83887,302.8621885,0,2.189766094,-0.400595662,0.231000011,77,127,77
2013-06-05,6,3,2383.99246,265.7387094,2.463991372,0.507934457,83310.95223,305.1806738,0,2.384846383,-0.158550297,0.392000019,73,77,127
2013-06-06,6,3,2889.455719,271.1228968,2.463258259,0.507812332,83178.01392,306.016512,0,-0.958298775,2.513808397,0.239000011,88,73,77
2013-06-09,6,3,2377.374694,270.1026866,2.461177803,0.507202541,82925.44776,302.5860414,0,0.707155901,2.285102592,0.189000009,90,88,73
2013-06-10,6,3,2474.295641,273.9082743,2.46044469,0.506958293,82865.55064,302.8515043,0,-0.533739425,3.220225142,0.43000002,105,90,88
2013-06-11,6,3,3387.798597,274.6926472,2.459711578,0.50659192,82580.54021,305.2883383,0,-1.666821149,3.408138956,0.385000018,103,105,90
2013-06-12,6,3,2192.91495,271.6957386,2.458978465,0.506347671,82679.37045,305.0384909,0,2.589392105,1.406238191,0.439000021,84,103,105
2013-06-13,6,3,1965.984229,268.8059094,2.458364235,0.506103422,82867.38083,304.8757614,0,2.224164867,1.812031499,0.164000008,89,84,103
2013-06-14,6,3,1594.802973,275.0894321,2.457650936,0.505859174,82985.17849,305.7124214,0,-0.096482542,2.665570067,0.321000015,70,89,84
2013-06-15,6,3,1748.268119,272.2061722,2.457036706,0.505614925,83074.52502,306.9624803,0,-0.488951761,2.964260235,0.237000011,55,70,89
2013-06-16,6,3,1526.447318,272.6476282,2.456660243,0.505371507,82977.69135,305.709134,0,-1.237182785,3.106355557,0.275000013,55,55,70
2013-06-17,6,3,1424.919067,268.1890533,2.45618471,0.505127259,82676.3756,304.7187849,0,-2.477616383,2.983012951,0.318000015,87,55,55
2013-06-19,6,3,2555.970595,266.7405256,2.4553129,0.504516637,82502.00844,305.9672,0,-0.140346749,3.370826851,0.366000017,82,87,55
2013-06-20,6,3,2488.117556,270.4883037,2.454837367,0.504272388,82723.62776,304.0308826,0,2.929916869,0.697114868,0.282000013,85,82,87
2013-06-21,6,3,2980.345284,272.3671197,2.454460904,0.50402814,82844.42027,305.3401159,0,1.170038716,2.478622888,0.473000022,100,85,82
2013-06-22,6,3,2371.343313,276.876935,2.454104254,0.503783891,83018.62104,304.539618,4.54E-07,1.521875828,2.248177141,0.321000015,103,100,85
2013-06-23,6,3,2268.726062,277.4905064,2.453608908,0.503539642,82908.31053,305.8233734,0,-0.380445565,3.184266325,0.523000025,70,103,100
2013-06-25,6,3,2390.861533,271.7331835,2.452756911,0.503051976,82729.45109,305.1157464,0,4.073618348,-0.461107004,0.157000007,86,70,103
2013-06-26,6,3,3229.3073,270.7602722,2.452261565,0.502685603,82843.25561,307.1753437,0,2.538601971,1.462882993,0.311000015,76,86,70
2013-06-27,6,3,2438.777506,277.2848877,2.451904915,0.502441354,82952.56784,304.7631657,0,2.555916789,2.270989723,0.387000018,69,76,86
2013-06-28,6,3,2315.217959,282.0417082,2.451409569,0.502197105,82923.61757,300.588084,0,0.615041067,2.308301828,0.792000038,70,69,76
2013-07-01,7,3,2505.709085,273.3466003,2.45008204,0.50146519,82781.36192,305.0869811,0,2.921144028,0.788171871,0.068000003,99,70,69
2013-07-02,7,3,2848.576357,270.4751651,2.449705576,0.501220942,82482.54188,307.4030007,0,1.325410354,0.754146324,0.102000005,76,99,70
2013-07-03,7,3,2625.163942,271.7758839,2.449348927,0.500976693,82558.24518,307.5542242,0,3.414270059,0.215344061,0.154000007,74,76,99
2013-07-04,7,3,2419.259286,273.0424424,2.44885358,0.50061032,82853.07208,306.4151173,0,2.614787172,1.498648482,0.186000009,88,74,76
2013-07-05,7,3,1946.466009,278.9186693,2.448358234,0.500366071,82954.56441,305.0426003,0,-0.200140589,2.938547748,0.378000018,88,88,74
2013-07-06,7,3,1959.366464,274.2117754,2.448001584,0.500121823,83165.36897,306.5170287,0,-1.585095205,3.275709982,0.241000011,90,88,88
2013-07-07,7,3,1687.032845,271.3009244,2.447506238,0.499877574,83240.90588,307.7218849,0,-0.951603712,2.756240416,0.269000013,102,90,88
2013-07-08,7,3,1919.324794,273.1803974,2.447149588,0.49975545,83045.90751,310.0403702,0,0.069277987,2.891762621,0.100000005,98,102,90
2013-07-09,7,3,1999.743211,278.8641442,2.446654241,0.499877574,82864.55236,307.032339,0,-0.11702946,3.407365648,0.257000012,73,98,102
2013-07-10,7,3,1872.665358,278.7327585,2.446297592,0.499999698,82743.75985,305.7847457,0,-0.542743131,3.564927127,0.251000012,69,73,98
2013-07-11,7,3,1545.546693,275.7430761,2.445802245,0.499999698,82785.18868,306.1373264,0,-1.113670413,2.811725256,0.22000001,94,69,73
2013-07-12,7,3,2406.610139,271.9269775,2.445306899,0.500121823,82684.69464,309.5341005,0,-0.890424687,2.891762621,0.293000014,100,94,69
2013-07-13,7,3,2335.071256,281.297408,2.444950249,0.500121823,82757.56946,307.2649272,0,2.184225352,3.097075862,0.330000016,105,100,94
2013-07-14,7,3,1799.953706,282.7557897,2.444573786,0.500243947,82979.18878,305.5159953,0,0.323921251,2.95942706,0.507000024,100,105,100
2013-07-15,7,3,1724.477671,280.1359581,2.444454903,0.500366071,83024.44437,307.3043768,0,-0.346046793,2.951693982,0.296000014,79,100,105
2013-07-16,7,3,1666.174318,278.5567016,2.444831366,0.500366071,83056.55588,308.2823979,0,-0.688418471,2.960780349,0.301000014,82,79,100
2013-07-18,7,3,1707.556295,274.7057857,2.445306899,0.500488196,82899.8251,309.7231298,0,-1.227255623,2.985526201,0.20400001,94,82,79
2013-07-19,7,3,2049.250799,275.6176027,2.445683362,0.50061032,82681.20064,309.5341005,0,-0.559827085,2.707328693,0.252000012,129,94,82
2013-07-20,7,3,2370.421852,278.7570649,2.445921129,0.500732444,82628.4579,310.8671679,0,-1.532689021,3.425925037,0.275000013,117,129,94
